condition,description
insect bite,"Many species of arthropods can bite or sting human beings. These bites and stings generally occur as a defense mechanism or during normal arthropod feeding. While most cases cause self-limited irritation, medically relevant complications include envenomation, allergic reactions, and transmission of vector-borne diseases."
paroxysmal ventricular tachycardia,"Ventricular tachycardia is a cardiovascular disorder in which fast heart rate occurs in the ventricles of the heart. Although a few seconds of VT may not result in permanent problems, longer periods are dangerous; and multiple episodes over a short period of time are referred to as an electrical storm. Short periods may occur without symptoms, or present with lightheadedness, palpitations, shortness of breath, chest pain, and decreased level of consciousness. Ventricular tachycardia may lead to coma and persistent vegetative state due to lack of blood and oxygen to the brain. Ventricular tachycardia may result in ventricular fibrillation (VF) and turn into cardiac arrest. This conversion of the VT into VF is called the degeneration of the VT. It is found initially in about 7% of people in cardiac arrest."
congenital heart defect,"A congenital heart defect (CHD), also known as a congenital heart anomaly, congenital cardiovascular malformation, and congenital heart disease, is a defect in the structure of the heart or great vessels that is present at birth. A congenital heart defect is classed as a cardiovascular disease. Signs and symptoms depend on the specific type of defect. Symptoms can vary from none to life-threatening. When present, symptoms are variable and may include rapid breathing, bluish skin (cyanosis), poor weight gain, and feeling tired. CHD does not cause chest pain. Most congenital heart defects are not associated with other diseases. A complication of CHD is heart failure."
connective tissue disorder,"Connective tissue disease, also known as connective tissue disorder, or collagen vascular diseases, refers to any disorder that affects the connective tissue. The body's structures are held together by connective tissues, consisting of two distinct proteins: elastin and collagen. Tendons, ligaments, skin, cartilage, bone, and blood vessels are all made of collagen. Skin and ligaments contain elastin. The proteins and the body's surrounding tissues may suffer damage when these connective tissues become inflamed."
foreign body in the eye,"A foreign body (FB) is any object originating outside the body of an organism. In machinery, it can mean any unwanted intruding object."
poisoning due to gas,"Carbon monoxide poisoning typically occurs from breathing in carbon monoxide (CO) at excessive levels. Symptoms are often described as ""flu-like"" and commonly include headache, dizziness, weakness, vomiting, chest pain, and confusion. Large exposures can result in loss of consciousness, arrhythmias, seizures, or death. The classically described ""cherry red skin"" rarely occurs. Long-term complications may include chronic fatigue, trouble with memory, and movement problems."
pyogenic skin infection,"A pyogenic granuloma or lobular capillary hemangioma is a vascular tumor that occurs on both mucosa and skin, and appears as an overgrowth of tissue due to irritation, physical trauma, or hormonal factors. It is often found to involve the gums, skin, or nasal septum, and has also been found far from the head, such as in the thigh."
endometrial hyperplasia,"Endometrial hyperplasia is a condition of excessive proliferation of the cells of the endometrium, or inner lining of the uterus."
acanthosis nigricans,"Acanthosis nigricans is a medical sign characterised by brown-to-black, poorly defined, velvety hyperpigmentation of the skin. It is usually found in body folds, such as the posterior and lateral folds of the neck, the armpits, groin, navel, forehead and other areas."
central atherosclerosis,"Atherosclerosis is a pattern of the disease arteriosclerosis, characterized by development of abnormalities called lesions in walls of arteries. This is a chronic inflammatory disease involving many different cell types and is driven by elevated levels of cholesterol in the blood. These lesions may lead to narrowing of the arterial walls due to buildup of atheromatous plaques. At the onset there are usually no symptoms, but if they develop, symptoms generally begin around middle age. In severe cases, it can result in coronary artery disease, stroke, peripheral artery disease, or kidney disorders, depending on which body part(s) the affected arteries are located in the body."
